,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
5115,/Users/pm286/projects/semanticClimate/climate_justice/PMC8068457/sections/1_body/2_results_and_discussion/1_allocating_emissions_using_the/4_p.xml,1 Comparative between the cumulative emissions distribution in the historical period 1994–2017 (graphs to the left) and the cumulative emissions allocated by the MCJ in the period 2018–2100 (graphs to the right).,DIS,MCJ,ORG,162,165,,,,
5116,/Users/pm286/projects/semanticClimate/climate_justice/PMC8068457/sections/1_body/2_results_and_discussion/1_allocating_emissions_using_the/4_p.xml,"Upper section, of the Mediterranean with respect to the World cumulative emissions percentages; central section, distribution between Mediterranean Annex I and non-Annex I countries; lower section, distribution between EU27 member and non-member countries",DIS,"World, EU27","ORG, ORG","56, 219","61, 223",,,,
5120,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml,"The studies employ a variety of methods, such as statistical analyses informed by theories of corporate climate behavior (e.g.,  52 ,  53 ,  57 ), case studies of selected companies (e.g.,  50 ,  51 ), and reviews of SBT methods or SBTi guidelines (e.g.,  26 ,  44 ,  49 ), with many studies employing a mix of methods.",DIS,SBT,ORG,221,224,,,,
5122,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml,"Some studies address SBTs as an element of a broader inquiry (e.g.,  44 ,  52 ), but we focus on their SBT content here.",DIS,SBT,ORG,105,108,,,,
5124,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml,"While our review focuses on these seventeen studies, we also draw on other literature when helpful in understanding SBT methods and practices.",DIS,SBT,ORG,116,119,,,,
5127,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml,"The lens numbers refer to existing corporate engagement (1), methods and governance (2), and diffusion (3) Study reference Lenses addressed Methodological approach Main outcome Trexler and Schendler  5 , 2015 2, 3 Commentary Argues that SBTs hinder substantial emissions reductions by implying that corporate action can substitute for public policy, that decarbonizations is unrealistic without carbon pricing, and that only a few companies can reach their targets without ambitious regulation Marland et al.",DIS,Main,ORG,164,168,,,,
5130,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml," 46 , 2019 2 Coupling of multiregional input − output database with existing SBT method Presents a new method for setting SBTs for scope 3 emissions that is consistent with the sectoral decarbonization approach (SDA)  30  and adds sectoral and regional resolution Faria and Labutong  26 , 2019 2 Review of SBT methods and SBTi material and simulation of target-setting Provides an in-depth description of four SBT methods and finds that SBTs can be as sensitivity to the choice of emission scenario as the choice target equation Dagnet et al.",DIS,"SBT, Presents, SBT","ORG, ORG, ORG","79, 90, 416","82, 98, 419",,,,
5133,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml," 49 , 2021 2 Review of SBT methods and SBTi material and simulation of target-setting Provides an in-depth description of seven SBT methods and finds that individual methods and mixes of methods lead to emission imbalances (see footnote 17) of varying sizes and signs Giesekam et al.",DIS,SBT,ORG,130,133,,,,
5135,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml,"and proposes that reaching a threshold of 20% of companies with SBTs in a geography or sector will lead to rapid adoption by the remaining companies Kuo and Chang  58 , 2021 1 Ordinal logistic regression on the relationship between climate disclosure to CDP and CDP score for 1,994 Japanese companies Determines that for companies in non-high-carbon emitting industries, there was a strong relationship between SBT adoption and the CDP score, and that in high-carbon emitting industries, the CDP score was higher for companies that adopted both SBTs and internal carbon pricing Freiberg et al.",DIS,"CDP, CDP, SBT, CDP, CDP","ORG, ORG, ORG, ORG, ORG","256, 264, 413, 434, 494","259, 267, 416, 437, 497",,,,
5136,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/1_p.xml," 53 , in review 1 Empirical analysis of the determinants of external standard (SBT) adoption and difference-in-differences research design assessing the impact of SBT adoption on climate efforts Finds that companies are more likely to set SBTs if they achieved ambitious targets in the past, perceive economic risks to their business from climate change, and have carbon-intensive operations, finds that companies set more challenging targets and invest more in emission reduction initiatives after SBT adoption, and suggests that companies set SBTs to ensure sufficiently ambitious targets Bolton and Kacperczyk  52 , in review 1, 3 Statistical analysis evaluating the association of company, industry, and country-level characteristics with target-setting and the effect of target-setting on overall emissions Finds that companies are more likely to set SBTs and other targets if they are larger, more visible, already disclose emissions, and have lower absolute emissions, finds a small but statistically insignificant relationship between the growth in target-setting and the reduction in annual growth of aggregate scope 1 emissions, concludes that target-setting initiatives have successfully drawn in companies most able and willing to commit but not companies that “that need to reduce their emissions the most” Piper and Longhurst  51 , in review 1 A sequential mixed methods approach, including literature review, discussions with “sustainability thought leaders,” surveys, and interviews to assess corporate action towards carbon neutrality among a small number of UK corporations Finds that economics (rather than climate change concerns) is the main driver for target-setting and identifies credibility and standardization as the two predominant motivations for setting SBTs",DIS,"SBT, SBT, SBT","ORG, ORG, ORG","81, 165, 501","84, 168, 504",,,,
5137,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/4_lens_3__prospects_of_sbt_diffu/1_p.xml,"While SBT uptake has increased substantially since the establishment of the SBTi in 2015, uneven representation of low- and middle-income countries and certain sectors poses a potential barrier for mainstreaming SBTs.",DIS,SBT,ORG,6,9,,,,
5154,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/4_lens_3__prospects_of_sbt_diffu/3_effects_of_sbts_on_climate_pol/2_p.xml,"In a “collective action” scenario, companies set targets and incur costs to reduce emissions with the expectation that other companies will follow, making it easier for governments to introduce market reforms, for which early SBT adopters will be better prepared.",DIS,SBT,ORG,226,229,,,,
5155,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/4_lens_3__prospects_of_sbt_diffu/3_effects_of_sbts_on_climate_pol/2_p.xml,"Alternatively, in a “best in class” scenario, companies with low emissions, with little difficulty reducing emissions, and already on a decarbonization pathway join CDP and SBTi to formalize and advertise their “best in class” status.",DIS,CDP,ORG,165,168,,,,
5157,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/4_lens_3__prospects_of_sbt_diffu/3_effects_of_sbts_on_climate_pol/2_p.xml,"Regarding current SBT adopters, they conclude “unless their efforts are supported by public policy to curb emissions and institutional investor pressure, it will be increasingly difficult to persuade the vast majority of companies that are still on the sidelines to join the decarbonization commitment drive.” We note that recent increases in SBT uptake and policymakers’ references to SBTs (as mentioned in the introduction) could provide support to the “collective action” scenario.",DIS,"SBT, SBT","ORG, ORG","18, 343","21, 346",,,,
5162,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/4_lens_3__prospects_of_sbt_diffu/2_mainstreaming_sbts/3_p.xml,"The authors found that this particularly hampers the applicability of the SDA method to construction companies and other complex sectors that produce heterogenous, long-lived products that interact with other companies and actors.",DIS,SDA,ORG,74,77,,,,
5179,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/4_lens_3__prospects_of_sbt_diffu/2_mainstreaming_sbts/2_p.xml, 50  present examples of a Western retailer (Walmart) and clothing brand (Levi’s) that have both engaged with suppliers in Asia as part of their scope 3 SBTs.,DIS,Levi’s,ORG,76,82,,,,
5189,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml,Several additional studies touched on the drivers of SBT adoption.,DIS,SBT,ORG,53,56,,,,
5193,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml,"Kuo and Chang  58  considered the relationship of SBT adoption and internal carbon pricing on the carbon management reputation of Japanese companies, with CDP scores used as a proxy for the latter.",DIS,"SBT, CDP","ORG, ORG","52, 157","55, 160",,,,
5194,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml,"For companies in low-carbon emitting industries, there was a stronger positive relationship between SBT adoption and CDP score.",DIS,"SBT, CDP","ORG, ORG","100, 117","103, 120",,,,
5195,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml,"In high-carbon emitting industries, CDP score was higher for companies that adopted both SBTs and internal carbon pricing.",DIS,CDP,ORG,36,39,,,,
5196,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml,"Since the CDP scoring methodology awards point for SBT adoption  59  and companies that report to CDP are more likely to set SBTs  52 , it is not surprising that companies with SBTs tend to have higher CDP scores than companies without.",DIS,"CDP, SBT, CDP, CDP","ORG, ORG, ORG, ORG","10, 51, 100, 206","13, 54, 103, 209",,,,
5197,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml,"However, the relationship between SBT adoption and other types of corporate climate action evaluated by the CDP scoring methodology remains unexplored, e.g., if SBT adoption has positive “spillover” effects on other types of corporate climate action evaluated (such as board oversight of climate-related issues) or if companies that are already doing well across the items evaluated by the CDP scoring methodology are likely to adopt SBTs.",DIS,"SBT, CDP, SBT, CDP","ORG, ORG, ORG, ORG","34, 108, 161, 390","37, 111, 164, 393",,,,
5198,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml,"Regardless, the correlation of SBT adoption and CDP scores provides additional (albeit limited) support for increased credibility as a motivator for SBT adoption.",DIS,"SBT, CDP, SBT","ORG, ORG, ORG","31, 48, 149","34, 51, 152",,,,
5200,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/3_p.xml," 57  also observed that a significant proportion of global companies setting SBTs had already earned a high CDP score, reinforcing the importance of past success in driving SBT adoption.",DIS,"CDP, SBT","ORG, ORG","110, 175","113, 178",,,,
5208,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/1_p.xml,"Bolton and Kacperczyk  52  evaluated the association of company, industry, and country-level characteristics with a company’s decision to set targets (i.e., internal targets, SBT commitments, and approved SBTs).",DIS,SBT,ORG,177,180,,,,
5209,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/1_p.xml,"They used Trucost, CDP (relying on corporate self-disclosure), and SBTi data from 2005 to 2019 for 17,385 publicly traded companies from 66 countries representing roughly 99% of global market capitalization.",DIS,"Trucost, CDP","ORG, ORG","10, 19","17, 22",,,,
5210,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/1_p.xml,"Of these, 1,957 (11.3%) declared an internal target and 455 (2.6%) set or committed to setting an SBT.",DIS,SBT,ORG,98,101,,,,
5214,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/1_p.xml,Companies are more likely to set an SBT if they previously set an internal target.,DIS,SBT,ORG,36,39,,,,
5218,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/1_p.xml,Companies were slightly more likely to set targets when their home countries set Intended Nationally Determined Contributions (INDCs) in the lead up to the Paris Agreement than they were when their home countries established Nationally Determined Contribution (NDC) after the Paris Agreement.,DIS,Nationally Determined Contribution,ORG,225,259,,,,
5222,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/2_p.xml," 53  investigated the reasons for using an external standard (i.e., setting an SBT) rather than an internal standard (i.e., setting an internal target).",DIS,SBT,ORG,81,84,,,,
5224,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/2_p.xml,"They investigated support for these motivations using CDP data for 1,752 global firms that declared targets between 2011 and 2019, of which 385 (22%) had set an SBT 13 .",DIS,CDP,ORG,54,57,,,,
5225,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/2_p.xml,"Companies that had set more difficult past targets and successfully achieved past targets were more likely to set an SBT, lending support to both symbolic and substantive adoption.",DIS,SBT,ORG,117,120,,,,
5226,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/2_drivers_for_setting_sbts/2_p.xml,"Companies that have more carbon-intensive operations, perceive more imminent climate change risks to their business, and perceive a greater impact from climate change risks are also more likely to set an SBT, suggesting an economic interest in addressing climate change and lending further support to substantive adoption (according to Freiberg et al.",DIS,SBT,ORG,204,207,,,,
5234,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/1_p.xml, 53  used a difference-in-differences approach to benchmark companies’ SBTs against their previous internal targets to assess whether SBT adoption leads to more ambitious targets.,DIS,SBT,ORG,136,139,,,,
5235,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/1_p.xml,"They found targeted percentage reduction in emissions to increase 21% to 25% on average after companies set an SBT, depending on target coverage (percent of emissions covered by the target).",DIS,SBT,ORG,111,114,,,,
5237,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/1_p.xml," 53  also found a strong positive correlation between targeted percentage reduction and timeframe (for all target-setting companies), it is not clear if the targeted reduction rate (reduction per year) increases after companies set an SBT.",DIS,SBT,ORG,237,240,,,,
5238,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/1_p.xml,"Given the voluntary nature of SBT adoption and the inability to use an experimental design that randomly assigns companies to internal target and SBT groups, the authors warn against concluding that SBT adoption causes increased ambition.",DIS,"SBT, SBT, SBT","ORG, ORG, ORG","30, 146, 199","33, 149, 202",,,,
5239,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/5_p.xml,"Bolton and Kacperczyk  52  also compared the rate of target adoption (including internal targets, SBT commitments, and approved SBTs) to the annual growth rate in aggregate scope 1 emissions for publicly traded companies tracked by Trucost between 2012 and 2019.",DIS,"SBT, Trucost","ORG, ORG","100, 234","103, 241",,,,
5245,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/2_p.xml,"Companies with SBTs reported 113% higher investments as compared to companies with internal targets and 63% higher investments as compared to companies with similar exogenous covariates (e.g., past target ambition, past target achievement) and factor variables (e.g., sector, country) likely to influence SBT adoption, confirming that increased investments are not driven by differences between the two groups of companies.",DIS,SBT,ORG,305,308,,,,
5246,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/2_p.xml,"In contrast, companies that set more ambitious internal targets did not invest more than companies that set less ambitious internal targets, indicating that increased investment is attributable to SBT adoption rather than setting ambitious targets.",DIS,SBT,ORG,197,200,,,,
5248,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/2_p.xml,Freiberg et al.’s  53  findings that SBT adoption is accompanied by increased target difficulty and higher investment further suggest a substantive rather than symbolic commitment.,DIS,SBT,ORG,39,42,,,,
5250,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/4_p.xml,"Between 2011 and 2019, the average reported scope 1 target (including internal targets, SBT commitments, and approved SBTs) increased from an 18.5 to a 30.5% reduction, but the average target timeframe also increased from 5 to 11 years, indicating (as in Freiberg et al.",DIS,SBT,ORG,88,91,,,,
5252,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/4_p.xml,"They also found that companies tend to report a higher percentage emission reduction in the initial years after setting a target than in later years, with a higher initial reduction observed for companies setting internal targets than those committing to or setting an SBT.",DIS,SBT,ORG,269,272,,,,
5254,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/3_effect_of_sbts_on_companies’_c/4_p.xml, 53  (related to SBT impacts on investments) suggests that SBT commitments are less substantive than approved SBTs (since Bolton and Kacperczyk  52  group committed and approved SBTs together).,DIS,"SBT, SBT","ORG, ORG","19, 61","22, 64",,,,
5256,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/4_performance_against_sbts/1_p.xml,Researchers have noted the difficulty in assessing SBT achievement given target years are still generally in the future and since SBTi does not prescribe emission pathways for companies to follow from base year to target year  53 .,DIS,SBT,ORG,51,54,,,,
5262,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/2_lens_1__existing_company_engag/4_performance_against_sbts/1_p.xml, 57  only included (81) companies reporting at least 2 years of progress against their SBT as of February 2020.,DIS,SBT,ORG,89,92,,,,
5282,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/3_p.xml,"Since the last couple of years, the SBTi has recommended only two of the original seven methods for scope 1 and 2 emission targets (ACA and SDA)  27 .",DIS,"ACA, SDA","ORG, ORG","132, 140","135, 143",,,,
5286,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/3_p.xml,"Aden  44  considered the availability of multiple methods a strength, arguing that “there is not a single SBT method that is best in all sectors and company situations.” Similarly, Faria and Labutong  26  encourage practitioners to “consider the fitness of the method and scenario to the particular use case.” However, Bjørn et al.",DIS,SBT,ORG,108,111,,,,
5287,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/3_p.xml," 49  showed that global allowable emissions will be substantially overshot if all companies choose the SBT method that result in the least challenging target, as also hypothesized by Freiberg et al.",DIS,SBT,ORG,105,108,,,,
5290,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/3_p.xml,"However, the lack of a requirement to disclose the SBT method behind approved targets makes it difficult to know if companies follow this recommendation  49 .",DIS,SBT,ORG,51,54,,,,
5291,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/3_p.xml,"Against this backdrop, Lister  45  sees a need for the state to co-regulate SBTs in terms of establishing an SBT standard that defines a consistent methodology, involving a common base year and target year and alignment with national climate policy goals.",DIS,SBT,ORG,111,114,,,,
5294,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/3_p.xml, 47  that current SBT methods generally do not allow alignment with national climate goals.,DIS,SBT,ORG,20,23,,,,
5296,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/3_p.xml,"Therefore, alterations of SBT methods to align with national climate goals may defeat the purpose of SBTs.",DIS,SBT,ORG,26,29,,,,
5298,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/1_p.xml,"Aden  44  provided a brief overview of the seven methods that the SBTi originally referred companies to (before it began recommending just the ACA and SDA), followed by more in-depth method characterizations by Faria and Labutong  26  and Bjørn et al.",DIS,"ACA, SDA","ORG, ORG","145, 153","148, 156",,,,
5307,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/2_p.xml, 49  did not directly address the fairness or appropriateness of the allocation principles they identified in the SBT methods but argued that the principles should be clearly communicated to companies and their stakeholders to facilitate understanding of the value judgment involved and informed method choices.,DIS,SBT,ORG,116,119,,,,
5309,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/2_p.xml," 47  went further in arguing that the SDA method’s lack of attention to “common but differentiated responsibilities” between nations means that resulting SBTs are inconsistent with national commitments to the Paris Agreement, which tend to involve higher emission reductions for high-income countries than low- and middle-income countries  22 .",DIS,SDA,ORG,40,43,,,,
5312,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/4_p.xml, 46  noted that the SDA method only covers a handful of globally aggregated sectors.,DIS,SDA,ORG,22,25,,,,
5313,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/4_p.xml,"In response, they used a global multiregional input − output database to translate the sectoral emission pathways used in the SDA method into geographically differentiated emission intensity trajectories (emissions per value added) for 57 economic sectors across 140 regions.",DIS,SDA,ORG,126,129,,,,
5314,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/4_p.xml,This essentially allows companies to set scope 3 targets as a function of SDA-based scope 1 and 2 targets of individual scope 3 actors while accounting for regional differences in base year emission intensities.,DIS,SDA,ORG,74,77,,,,
5317,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/2_target-setting_methods_and_gov/4_p.xml,"We note that a potential shortcoming of this approach is the underlying assumption that all companies in a given sector and region have the same average value chain, involving the same average emission intensities, regardless of whether a company has already taken efforts to source low-carbon products prior to setting an SBT.",DIS,SBT,ORG,323,326,,,,
5319,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/3_emission_disclosure_in_relatio/3_p.xml," 46  argued that it can be difficult for companies to obtain data from upstream and downstream actors (e.g., suppliers and customers), in accordance with the Greenhouse Gas Protocol standard that SBTi refers companies to  66 , and that the different emission estimation methods allowed by the standard can lead to very different estimates.",DIS,the Greenhouse Gas Protocol,ORG,156,183,,,,
5333,/Users/pm286/projects/semanticClimate/climate_justice/PMC9287239/sections/2_body/3_results_and_discussion/3_lens_2__appraisal_of_sbt_metho/3_emission_disclosure_in_relatio/2_p.xml,SBTi does allow renewable energy certificates through the market-based scope 2 accounting approach of the Greenhouse Gas Protocol  62 .,DIS,the Greenhouse Gas Protocol,ORG,102,129,,,,
5337,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/3_p.xml,The emissions resulting from these activities increased from 14 to 35 MT from 1990 to 2017 as indicated by IEA ( 2020 ) data.,DIS,"MT, IEA","ORG, ORG","70, 107","72, 110",,,,
5341,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/3_p.xml,"As IEA ( 2020 ) data revealed, the energy consumption of this sector increased from 7490 to 10,540 ktoe, between 1990 and 2017.",DIS,IEA,ORG,3,6,,,,
5346,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/1_p.xml,"In this section of the paper, the aim is to perform a critical analysis on the findings of the LMDI decomposition analysis.",DIS,LMDI,ORG,95,99,,,,
5354,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/1_p.xml,"Between 1990 and 2017, the CO 2  emissions resulting from electricity and heat production activities rose from 129 to 191 MT in Australia (IEA,  2020 ).",DIS,"MT, IEA","ORG, ORG","122, 139","124, 142",,,,
5357,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/1_p.xml,"In 2017, as indicated by World Bank ( 2020 ) data, the services sector comprised 67% of the total economy.",DIS,World Bank,ORG,25,35,,,,
5360,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/5_p.xml,Population was one of the significant factors that raised CO 2  emissions in the country according to the LMDI decomposition results.,DIS,LMDI,ORG,106,110,,,,
5363,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/2_p.xml,"Transportation was the second largest CO 2  emitting sector in Australia, and from 1990 to 2017, the CO 2  emissions related to this sector increased from 62 to 98 MT (IEA,  2020 ).",DIS,"Transportation, MT","ORG, ORG","0, 164","14, 166",,,,
5365,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/2_p.xml,"As IEA ( 2020 ) data revealed, energy consumption in the transport sector in Australia rose by 58% from 21,111 to 33,352 ktoe over the studied period.",DIS,IEA,ORG,3,6,,,,
5367,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/2_p.xml,"The emissions that resulted from industrial activities decreased slowly from 43 to 38 MT over the period 1990–2017 (IEA,  2020 ).",DIS,MT,ORG,86,88,,,,
5378,/Users/pm286/projects/semanticClimate/climate_justice/PMC8697842/sections/2_body/5_discussion/4_p.xml,Table.4 Sector level distribution of Australia’s CO 2  emissions Sector in 1990 in 2017 % change Electricity and heat production 129 MT 191 MT 48.1 Transportation 62 MT 98 MT 58.1 Industry 43 MT 38MT  − 11.6 Other energy industries 14 MT 35 MT 150.0 Residential buildings 6 MT 9 MT 50.0 Commercial and public services 3 MT 6 MT 100.0 Agriculture 3 MT 7 MT 133.3,DIS,"Sector, MT 48.1 Transportation, MT 58.1 Industry, MT","ORG, ORG, ORG, ORG","65, 140, 172, 241","71, 162, 188, 243",,,,
5402,/Users/pm286/projects/semanticClimate/climate_justice/PMC7708558/sections/1_body/5_discussion_and_conclusions/6_p.xml,Garud and Gehman  2012 ; Chilvers and Longhurst  2015 ; Haxeltine et al.,DIS,"Chilvers, Longhurst","ORG, ORG","25, 38","33, 47",,,,
